id,Precio_cat
4820,5
4821,3
4822,1
4823,3
4824,1
4825,1
4826,5
4827,5
4828,3
4829,4
4830,3
4831,4
4832,1
4833,3
4834,5
4835,1
4836,1
4837,5
4838,5
4839,1
4840,1
4841,1
4842,1
4843,3
4844,1
4845,3
4846,5
4847,3
4848,4
4849,3
4850,3
4851,3
4852,3
4853,5
4854,3
4855,3
4856,5
4857,1
4858,3
4859,1
4860,1
4861,3
4862,5
4863,1
4864,1
4865,3
4866,4
4867,3
4868,3
4869,5
4870,1
4871,3
4872,5
4873,1
4874,3
4875,1
4876,5
4877,1
4878,3
4879,1
4880,4
4881,3
4882,4
4883,1
4884,1
4885,1
4886,5
4887,1
4888,5
4889,5
4890,3
4891,5
4892,3
4893,3
4894,3
4895,5
4896,5
4897,4
4898,3
4899,3
4900,2
4901,5
4902,3
4903,3
4904,3
4905,1
4906,4
4907,3
4908,3
4909,3
4910,2
4911,3
4912,3
4913,1
4914,3
4915,1
4916,5
4917,5
4918,2
4919,1
4920,3
4921,3
4922,1
4923,5
4924,3
4925,5
4926,1
4927,3
4928,3
4929,1
4930,1
4931,1
4932,1
4933,1
4934,5
4935,5
4936,5
4937,3
4938,1
4939,3
4940,1
4941,3
4942,5
4943,5
4944,3
4945,4
4946,1
4947,1
4948,1
4949,3
4950,4
4951,3
4952,5
4953,5
4954,1
4955,3
4956,1
4957,1
4958,3
4959,4
4960,3
4961,1
4962,3
4963,5
4964,5
4965,3
4966,5
4967,3
4968,3
4969,4
4970,5
4971,4
4972,5
4973,3
4974,5
4975,5
4976,5
4977,5
4978,5
4979,1
4980,1
4981,3
4982,3
4983,3
4984,4
4985,4
4986,3
4987,3
4988,1
4989,1
4990,5
4991,1
4992,1
4993,5
4994,3
4995,3
4996,5
4997,5
4998,1
4999,3
5000,5
5001,5
5002,4
5003,5
5004,4
5005,2
5006,5
5007,3
5008,5
5009,5
5010,3
5011,5
5012,3
5013,3
5014,3
5015,5
5016,3
5017,3
5018,5
5019,5
5020,5
5021,1
5022,5
5023,1
5024,1
5025,3
5026,1
5027,1
5028,1
5029,1
5030,5
5031,5
5032,1
5033,5
5034,3
5035,3
5036,3
5037,5
5038,1
5039,5
5040,3
5041,5
5042,4
5043,3
5044,3
5045,3
5046,4
5047,3
5048,1
5049,3
5050,4
5051,5
5052,5
5053,5
5054,3
5055,1
5056,5
5057,3
5058,5
5059,5
5060,3
5061,3
5062,1
5063,3
5064,3
5065,3
5066,3
5067,4
5068,5
5069,3
5070,1
5071,1
5072,5
5073,3
5074,5
5075,4
5076,3
5077,1
5078,5
5079,3
5080,1
5081,5
5082,1
5083,1
5084,1
5085,1
5086,5
5087,4
5088,4
5089,3
5090,1
5091,3
5092,3
5093,1
5094,3
5095,1
5096,4
5097,3
5098,5
5099,1
5100,5
5101,4
5102,3
5103,3
5104,3
5105,3
5106,1
5107,1
5108,5
5109,3
5110,1
5111,1
5112,3
5113,3
5114,1
5115,4
5116,4
5117,4
5118,1
5119,3
5120,1
5121,3
5122,3
5123,3
5124,3
5125,3
5126,2
5127,1
5128,3
5129,4
5130,3
5131,5
5132,5
5133,5
5134,1
5135,3
5136,3
5137,3
5138,1
5139,3
5140,3
5141,4
5142,1
5143,3
5144,4
5145,3
5146,3
5147,1
5148,4
5149,5
5150,4
5151,4
5152,1
5153,5
5154,3
5155,1
5156,3
5157,4
5158,3
5159,3
5160,1
5161,5
5162,3
5163,1
5164,3
5165,1
5166,1
5167,1
5168,4
5169,3
5170,4
5171,5
5172,1
5173,5
5174,3
5175,4
5176,1
5177,3
5178,5
5179,5
5180,4
5181,4
5182,1
5183,2
5184,3
5185,4
5186,4
5187,3
5188,3
5189,3
5190,5
5191,2
5192,3
5193,3
5194,4
5195,3
5196,3
5197,1
5198,3
5199,4
5200,3
5201,1
5202,3
5203,4
5204,3
5205,4
5206,1
5207,4
5208,3
5209,1
5210,3
5211,1
5212,5
5213,1
5214,5
5215,5
5216,1
5217,3
5218,3
5219,3
5220,3
5221,5
5222,3
5223,1
5224,3
5225,3
5226,5
5227,1
5228,3
5229,5
5230,5
5231,5
5232,3
5233,3
5234,3
5235,1
5236,1
5237,1
5238,1
5239,3
5240,1
5241,4
5242,1
5243,5
5244,5
5245,1
5246,1
5247,5
5248,3
5249,3
5250,3
5251,3
5252,3
5253,3
5254,5
5255,4
5256,1
5257,4
5258,3
5259,3
5260,5
5261,5
5262,3
5263,1
5264,3
5265,1
5266,1
5267,1
5268,5
5269,3
5270,5
5271,5
5272,3
5273,1
5274,5
5275,3
5276,5
5277,5
5278,1
5279,3
5280,4
5281,5
5282,4
5283,3
5284,5
5285,5
5286,1
5287,3
5288,3
5289,5
5290,4
5291,5
5292,3
5293,3
5294,3
5295,3
5296,1
5297,3
5298,3
5299,3
5300,3
5301,4
5302,3
5303,4
5304,5
5305,3
5306,5
5307,3
5308,1
5309,4
5310,3
5311,4
5312,1
5313,1
5314,5
5315,5
5316,5
5317,5
5318,4
5319,3
5320,3
5321,1
5322,5
5323,1
5324,3
5325,5
5326,3
5327,3
5328,3
5329,1
5330,3
5331,3
5332,1
5333,3
5334,3
5335,2
5336,1
5337,3
5338,3
5339,3
5340,3
5341,5
5342,3
5343,5
5344,1
5345,1
5346,4
5347,5
5348,5
5349,5
5350,4
5351,3
5352,5
5353,5
5354,1
5355,5
5356,1
5357,5
5358,4
5359,5
5360,3
5361,5
5362,5
5363,5
5364,1
5365,3
5366,5
5367,3
5368,3
5369,4
5370,1
5371,3
5372,1
5373,1
5374,5
5375,3
5376,5
5377,5
5378,2
5379,3
5380,4
5381,1
5382,1
5383,1
5384,1
5385,4
5386,3
5387,3
5388,1
5389,1
5390,1
5391,3
5392,5
5393,5
5394,5
5395,3
5396,5
5397,4
5398,3
5399,5
5400,3
5401,3
5402,3
5403,4
5404,3
5405,5
5406,1
5407,3
5408,4
5409,3
5410,3
5411,4
5412,1
5413,1
5414,3
5415,1
5416,4
5417,3
5418,1
5419,4
5420,1
5421,5
5422,5
5423,4
5424,3
5425,1
5426,3
5427,1
5428,3
5429,1
5430,1
5431,3
5432,5
5433,5
5434,4
5435,3
5436,4
5437,3
5438,3
5439,3
5440,5
5441,1
5442,4
5443,3
5444,3
5445,2
5446,5
5447,1
5448,3
5449,3
5450,5
5451,3
5452,1
5453,5
5454,1
5455,5
5456,1
5457,5
5458,1
5459,5
5460,5
5461,5
5462,3
5463,5
5464,5
5465,3
5466,3
5467,5
5468,1
5469,1
5470,3
5471,3
5472,3
5473,1
5474,1
5475,3
5476,4
5477,3
5478,4
5479,3
5480,4
5481,3
5482,1
5483,4
5484,4
5485,3
5486,5
5487,1
5488,5
5489,3
5490,2
5491,1
5492,5
5493,3
5494,3
5495,5
5496,1
5497,4
5498,3
5499,5
5500,2
5501,1
5502,5
5503,5
5504,3
5505,3
5506,3
5507,3
5508,5
5509,1
5510,2
5511,5
5512,3
5513,1
5514,2
5515,3
5516,1
5517,4
5518,1
5519,4
5520,1
5521,4
5522,3
5523,3
5524,1
5525,5
5526,5
5527,3
5528,1
5529,1
5530,5
5531,5
5532,3
5533,5
5534,4
5535,3
5536,3
5537,5
5538,1
5539,1
5540,2
5541,1
5542,4
5543,3
5544,3
5545,1
5546,1
5547,1
5548,1
5549,1
5550,5
5551,5
5552,1
5553,1
5554,1
5555,3
5556,1
5557,5
5558,3
5559,3
5560,1
5561,3
5562,4
5563,3
5564,3
5565,3
5566,3
5567,4
5568,3
5569,4
5570,3
5571,3
5572,3
5573,3
5574,3
5575,1
5576,1
5577,3
5578,3
5579,1
5580,1
5581,3
5582,3
5583,3
5584,5
5585,5
5586,1
5587,3
5588,3
5589,4
5590,3
5591,3
5592,5
5593,1
5594,1
5595,1
5596,5
5597,2
5598,3
5599,5
5600,3
5601,3
5602,5
5603,2
5604,3
5605,4
5606,2
5607,4
5608,1
5609,1
5610,2
5611,3
5612,3
5613,3
5614,3
5615,3
5616,1
5617,1
5618,3
5619,1
5620,3
5621,1
5622,1
5623,3
5624,1
5625,3
5626,5
5627,1
5628,1
5629,3
5630,1
5631,1
5632,3
5633,4
5634,3
5635,4
5636,3
5637,4
5638,3
5639,1
5640,1
5641,3
5642,2
5643,1
5644,3
5645,3
5646,4
5647,1
5648,3
5649,1
5650,3
5651,4
5652,5
5653,3
5654,3
5655,1
5656,1
5657,3
5658,3
5659,1
5660,3
5661,5
5662,1
5663,5
5664,5
5665,3
5666,1
5667,3
5668,1
5669,5
5670,5
5671,3
5672,3
5673,3
5674,3
5675,3
5676,1
5677,1
5678,3
5679,1
5680,3
5681,1
5682,1
5683,4
5684,4
5685,3
5686,1
5687,5
5688,3
5689,3
5690,1
5691,3
5692,1
5693,1
5694,3
5695,1
5696,1
5697,3
5698,3
5699,1
5700,5
5701,1
5702,1
5703,4
5704,1
5705,5
5706,5
5707,1
5708,1
5709,5
5710,3
5711,1
5712,3
5713,4
5714,1
5715,1
5716,4
5717,5
5718,3
5719,1
5720,1
5721,4
5722,5
5723,1
5724,1
5725,3
5726,3
5727,1
5728,3
5729,1
5730,3
5731,4
5732,3
5733,5
5734,1
5735,1
5736,1
5737,3
5738,3
5739,5
5740,1
5741,3
5742,3
5743,3
5744,3
5745,4
5746,1
5747,5
5748,5
5749,1
5750,1
5751,3
5752,2
5753,1
5754,5
5755,1
5756,3
5757,1
5758,1
5759,4
5760,4
5761,4
5762,5
5763,3
5764,3
5765,3
5766,4
5767,1
5768,4
5769,5
5770,3
5771,4
5772,3
5773,4
5774,4
5775,5
5776,3
5777,5
5778,3
5779,3
5780,3
5781,5
5782,2
5783,5
5784,5
5785,4
5786,3
5787,1
5788,3
5789,3
5790,1
5791,5
5792,5
5793,5
5794,4
5795,1
5796,1
5797,3
5798,5
5799,3
5800,4
5801,3
5802,3
5803,3
5804,1
5805,5
5806,5
5807,3
5808,1
5809,5
5810,1
5811,4
5812,3
5813,3
5814,5
5815,3
5816,1
5817,3
5818,5
5819,1
5820,4
5821,1
5822,3
5823,1
5824,3
5825,1
5826,3
5827,2
5828,1
5829,5
5830,3
5831,1
5832,3
5833,4
5834,3
5835,1
5836,5
5837,3
5838,3
5839,4
5840,4
5841,3
5842,3
5843,3
5844,3
5845,3
5846,3
5847,1
5848,1
5849,5
5850,3
5851,3
5852,1
5853,3
5854,1
5855,2
5856,1
5857,4
5858,5
5859,1
5860,1
5861,1
5862,3
5863,3
5864,5
5865,5
5866,4
5867,4
5868,3
5869,3
5870,4
5871,4
5872,2
5873,1
5874,1
5875,1
5876,2
5877,5
5878,5
5879,1
5880,3
5881,3
5882,1
5883,5
5884,3
5885,5
5886,1
5887,5
5888,1
5889,1
5890,5
5891,1
5892,3
5893,5
5894,5
5895,4
5896,4
5897,5
5898,1
5899,1
5900,4
5901,3
5902,1
5903,1
5904,5
5905,5
5906,3
5907,1
5908,2
5909,4
5910,1
5911,3
5912,3
5913,1
5914,3
5915,5
5916,5
5917,3
5918,1
5919,1
5920,3
5921,3
5922,3
5923,1
5924,1
5925,5
5926,2
5927,5
5928,4
5929,1
5930,5
5931,5
5932,4
5933,1
5934,5
5935,5
5936,3
5937,1
5938,5
5939,1
5940,1
5941,5
5942,1
5943,1
5944,4
5945,3
5946,4
5947,1
5948,1
5949,4
5950,3
5951,5
5952,5
5953,3
5954,5
5955,1
5956,4
5957,3
5958,4
5959,5
5960,1
5961,3
5962,1
5963,5
5964,3
5965,1
5966,1
5967,1
5968,3
5969,3
5970,4
5971,5
5972,1
5973,3
5974,1
5975,3
5976,5
5977,5
5978,5
